Journal,Publisher,ISSN,eISSN,IF,zky
European Journal of General Practice,TAYLOR & FRANCIS LTD,1381-4788,1751-1402,2.3,3
BMC Primary Care,BMC,N/A,2731-4553,2,3
PHYSICIAN AND SPORTSMEDICINE,TAYLOR & FRANCIS LTD,0091-3847,2326-3660,1.9,4
SCANDINAVIAN JOURNAL OF PRIMARY HEALTH CARE,TAYLOR & FRANCIS LTD,0281-3432,1502-7724,1.9,3
FAMILY MEDICINE,SOC TEACHERS FAMILY MEDICINE,0742-3225,1938-3800,1.8,4
Atencion Primaria,EDICIONES DOYMA S A,0212-6567,1578-1275,1.8,4
Australian Journal of General Practice,ROYAL AUSTRALIAN COLLEGE GENERAL PRACTITIONERS,2208-794X,2208-7958,1.6,4
Primary Health Care Research and Development,CAMBRIDGE UNIV PRESS,1463-4236,1477-1128,1.6,4
Education for Primary Care,TAYLOR & FRANCIS INC,1473-9879,1475-990X,1.5,4
Korean Journal of Family Medicine,KOREAN ACAD FAMILY MEDICINE,2092-6715,2092-6715,1.4,4
JOURNAL OF FAMILY PRACTICE,DOWDEN HEALTH MEDIA,0094-3509,N/A,1.3,NA
African Journal of Primary Health Care & Family Medicine,AOSIS,2071-2928,2071-2936,1.2,4
Australian Journal of Primary Health,CSIRO PUBLISHING,1448-7527,1836-7399,1.2,4
Journal of Primary Health Care,CSIRO PUBLISHING,1172-6164,1172-6156,1.1,4
Journal of Family Medicine and Primary Care,WOLTERS KLUWER MEDKNOW PUBLICATIONS,2249-4863,2278-7135,1.1,4
Medicina de Familia-SEMERGEN,ELSEVIER,1138-3593,1578-8865,0.9,4
Family Medicine and Primary Care Review,TERMEDIA PUBLISHING HOUSE LTD,1734-3402,2449-8580,0.5,4
LANCET INFECTIOUS DISEASES,ELSEVIER SCI LTD,1473-3099,1474-4457,36.4,1
Lancet Microbe,ELSEVIER,N/A,2666-5247,20.9,1
JOURNAL OF INFECTION,W B SAUNDERS CO LTD,0163-4453,1532-2742,14.3,2
Lancet HIV,ELSEVIER INC,2352-3018,2352-3018,12.8,1
CLINICAL MICROBIOLOGY AND INFECTION,ELSEVIER SCI LTD,1198-743X,1469-0691,10.9,2
Eurosurveillance,EUR CENTRE DIS PREVENTION & CONTROL,1025-496X,1560-7917,10,2
JOURNAL OF TRAVEL MEDICINE,OXFORD UNIV PRESS INC,1195-1982,1708-8305,9.1,2
Emerging Microbes & Infections,TAYLOR & FRANCIS LTD,N/A,2222-1751,8.4,1
CLINICAL INFECTIOUS DISEASES,OXFORD UNIV PRESS INC,1058-4838,1537-6591,8.2,2
EMERGING INFECTIOUS DISEASES,CENTERS DISEASE CONTROL & PREVENTION,1080-6040,1080-6059,7.2,2
Travel Medicine and Infectious Disease,ELSEVIER SCI LTD,1477-8939,1873-0442,6.3,3
INFECTIOUS DISEASE CLINICS OF NORTH AMERICA,W B SAUNDERS CO-ELSEVIER INC,0891-5520,1557-9824,6.1,2
Virulence,TAYLOR & FRANCIS INC,2150-5594,2150-5608,5.5,1
INFECTION,SPRINGER HEIDELBERG,0300-8126,1439-0973,5.4,3
JOURNAL OF INFECTIOUS DISEASES,OXFORD UNIV PRESS INC,0022-1899,1537-6613,5,2
International Journal of Antimicrobial Agents,ELSEVIER,0924-8579,1872-7913,4.9,2
Infectious Diseases of Poverty,BMC,2095-5162,2049-9957,4.8,1
INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,ELSEVIER SCI LTD,1201-9712,1878-3511,4.8,2
Antimicrobial Resistance and Infection Control,BMC,2047-2994,2047-2994,4.8,2
Journal of Infection and Public Health,ELSEVIER SCIENCE LONDON,1876-0341,1876-035X,4.7,3
Infectious Diseases and Therapy,SPRINGER LONDON LTD,2193-8229,2193-6382,4.7,2
Journal of the International AIDS Society,JOHN WILEY & SONS LTD,N/A,1758-2652,4.6,2
INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH,ELSEVIER GMBH,1438-4639,1618-131X,4.5,2
JOURNAL OF MICROBIOLOGY IMMUNOLOGY AND INFECTION,ELSEVIER TAIWAN,1684-1182,1995-9133,4.5,3
Current Opinion in HIV and AIDS,LIPPINCOTT WILLIAMS & WILKINS,1746-630X,1746-6318,4.5,2
Antibiotics-Basel,MDPI,2079-6382,2079-6382,4.3,3
Influenza and Other Respiratory Viruses,WILEY,1750-2640,1750-2659,4.3,3
Expert Review of Anti-Infective Therapy,TAYLOR & FRANCIS LTD,1478-7210,1744-8336,4.2,3
One Health,ELSEVIER,N/A,2352-7714,4.1,2
ACS Infectious Diseases,AMER CHEMICAL SOC,2373-8227,N/A,4.1,2
Infectious Diseases,TAYLOR & FRANCIS LTD,2374-4235,2374-4243,4,4
Journal of Hospital Infection,W B SAUNDERS CO LTD,0195-6701,1532-2939,3.9,3
JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY,OXFORD UNIV PRESS,0305-7453,1460-2091,3.9,2
AMERICAN JOURNAL OF INFECTION CONTROL,MOSBY-ELSEVIER,0196-6553,1527-3296,3.8,3
One Health Outlook,BMC,2524-4655,2524-4655,3.8,3
Open Forum Infectious Diseases,OXFORD UNIV PRESS INC,2328-8957,2328-8957,3.8,4
INTERNATIONAL JOURNAL OF TUBERCULOSIS AND LUNG DISEASE,INT UNION AGAINST TUBERCULOSIS LUNG DISEASE (I U A T L D),1027-3719,1815-7920,3.8,3
Therapeutic Advances in Infectious Disease,SAGE PUBLICATIONS LTD,2049-9361,2049-937X,3.8,4
Journal of Global Antimicrobial Resistance,ELSEVIER SCI LTD,2213-7165,2213-7173,3.7,3
EUROPEAN JOURNAL OF CLINICAL MICROBIOLOGY & INFECTIOUS DISEASES,SPRINGER,0934-9723,1435-4373,3.7,3
Current HIV/AIDS Reports,SPRINGER,1548-3568,1548-3576,3.7,2
JAC-Antimicrobial Resistance,OXFORD UNIV PRESS,N/A,2632-1823,3.7,4
Current Tropical Medicine Reports,SPRINGER,N/A,2196-3045,3.6,3
SEXUALLY TRANSMITTED INFECTIONS,BMJ PUBLISHING GROUP,1368-4973,1472-3263,3.6,3
CURRENT OPINION IN INFECTIOUS DISEASES,LIPPINCOTT WILLIAMS & WILKINS,0951-7375,1473-6527,3.6,2
Transboundary and Emerging Diseases,WILEY-HINDAWI,1865-1674,1865-1682,3.5,2
Journal of Virus Eradication,MEDISCRIPT LTD,2055-6640,2055-6659,3.5,3
AIDS PATIENT CARE AND STDS,"MARY ANN LIEBERT, INC",1087-2914,1557-7449,3.4,2
BMC INFECTIOUS DISEASES,BMC,N/A,1471-2334,3.4,3
AIDS,LIPPINCOTT WILLIAMS & WILKINS,0269-9370,1473-5571,3.4,2
Infectious Disease Reports,MDPI,N/A,2036-7449,3.4,4
Ticks and Tick-Borne Diseases,ELSEVIER GMBH,1877-959X,1877-9603,3.1,2
Current Infectious Disease Reports,SPRINGER,1523-3847,1534-3146,3.1,4
Infectious Disease Modelling,KEAI PUBLISHING LTD,N/A,2468-0427,3,1
INFECTION CONTROL AND HOSPITAL EPIDEMIOLOGY,CAMBRIDGE UNIV PRESS,0899-823X,1559-6834,3,4
Epidemics,ELSEVIER,1755-4365,1878-0067,3,3
Brazilian Journal of Infectious Diseases,ELSEVIER BRAZIL,1413-8670,1678-4391,3,4
PEDIATRIC INFECTIOUS DISEASE JOURNAL,LIPPINCOTT WILLIAMS & WILKINS,0891-3668,1532-0987,2.9,4
Infection and Drug Resistance,DOVE MEDICAL PRESS LTD,1178-6973,1178-6973,2.9,3
JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES,LIPPINCOTT WILLIAMS & WILKINS,1525-4135,1077-9450,2.9,3
Infectious Diseases Now,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,2666-9927,2666-9919,2.9,4
New Microbes and New Infections,ELSEVIER SCI LTD,N/A,2052-2975,2.9,4
INFECTION AND IMMUNITY,AMER SOC MICROBIOLOGY,0019-9567,1098-5522,2.9,3
Tropical Medicine and Infectious Disease,MDPI,N/A,2414-6366,2.8,3
Infection and Chemotherapy,KOREAN SOC ANTIMICROBIAL THERAPY,2093-2340,2092-6448,2.8,4
HIV MEDICINE,WILEY,1464-2662,1468-1293,2.8,3
MEDICAL MYCOLOGY,OXFORD UNIV PRESS,1369-3786,1460-2709,2.7,3
Pathogens and Disease,OXFORD UNIV PRESS,2049-632X,2049-632X,2.7,4
MICROBES AND INFECTION,ELSEVIER,1286-4579,1769-714X,2.6,4
INFECTION GENETICS AND EVOLUTION,ELSEVIER,1567-1348,1567-7257,2.6,4
Transplant Infectious Disease,WILEY,1398-2273,1399-3062,2.6,4
Canadian Journal of Infectious Diseases & Medical Microbiology,HINDAWI LTD,1712-9532,1918-1493,2.6,4
ENFERMEDADES INFECCIOSAS Y MICROBIOLOGIA CLINICA,EDICIONES DOYMA S A,0213-005X,1578-1852,2.6,4
Journal of the Pediatric Infectious Diseases Society,OXFORD UNIV PRESS,2048-7193,2048-7207,2.5,4
EPIDEMIOLOGY AND INFECTION,CAMBRIDGE UNIV PRESS,0950-2688,1469-4409,2.5,4
JOURNAL OF VIRAL HEPATITIS,WILEY,1352-0504,1365-2893,2.5,3
Zoonoses and Public Health,WILEY,1863-1959,1863-2378,2.4,2
MALARIA JOURNAL,BMC,N/A,1475-2875,2.4,3
Tropical Diseases Travel Medicine and Vaccines,SPRINGERNATURE,2055-0936,2055-0936,2.4,4
SEXUALLY TRANSMITTED DISEASES,LIPPINCOTT WILLIAMS & WILKINS,0148-5717,1537-4521,2.4,4
Microbial Drug Resistance,"MARY ANN LIEBERT, INC",1076-6294,1931-8448,2.3,4
Current Fungal Infection Reports,SPRINGER,1936-3761,1936-377X,2.3,4
Journal of the International Association of Providers of AIDS Care,SAGE PUBLICATIONS INC,2325-9574,2325-9582,2.2,3
DIAGNOSTIC MICROBIOLOGY AND INFECTIOUS DISEASE,ELSEVIER SCIENCE INC,0732-8893,1879-0070,2.1,4
AIDS Research and Therapy,BMC,1742-6405,1742-6405,2.1,4
Parasite Epidemiology and Control,ELSEVIER,2405-6731,2405-6731,2,3
Mediterranean Journal of Hematology and Infectious Diseases,MATTIOLI 1885,N/A,2035-3006,2,4
Current Treatment Options in Infectious Diseases,SPRINGERNATURE,N/A,1534-6250,2,4
Infectious Microbes & Diseases,LIPPINCOTT WILLIAMS & WILKINS,N/A,2641-5917,2,4
JOURNAL OF INFECTION AND CHEMOTHERAPY,ELSEVIER,1341-321X,1437-7780,1.9,4
JOURNAL OF CHEMOTHERAPY,TAYLOR & FRANCIS LTD,1120-009X,1973-9478,1.9,4
Journal of Clinical Tuberculosis and Other Mycobacterial Diseases,ELSEVIER,2405-5794,2405-5794,1.9,4
AIDS REVIEWS,PERMANYER PUBL,1139-6121,1698-6997,1.9,4
Journal Of Bone And Joint Infection,COPERNICUS GESELLSCHAFT MBH,N/A,2206-3552,1.8,4
VECTOR-BORNE AND ZOONOTIC DISEASES,"MARY ANN LIEBERT, INC",1530-3667,1557-7759,1.8,4
Infection Prevention in Practice,ELSEVIER,2590-0889,2590-0889,1.8,4
Sexual Health,CSIRO PUBLISHING,1448-5028,1449-8987,1.8,4
HIV Research & Clinical Practice,TAYLOR & FRANCIS LTD,2578-7489,2578-7470,1.7,4
GERMS,EUROPEAN ACAD HIV-AIDS & INFECTIOUS DISEASES,2248-2997,2248-2997,1.7,4
Journal of Clinical Virology Plus,ELSEVIER,2667-0380,2667-0380,1.6,4
Communicable Diseases Intelligence,"AUSTRALIAN GOVERNMENT, DEPT HEALTH & AGEING",N/A,2209-6051,1.6,4
SOUTHERN AFRICAN JOURNAL OF HIV MEDICINE,AOSIS,1608-9693,2078-6751,1.6,4
International Journal of Mycobacteriology,WOLTERS KLUWER MEDKNOW PUBLICATIONS,2212-5531,2212-554X,1.6,4
REVISTA DO INSTITUTO DE MEDICINA TROPICAL DE SAO PAULO,INST MEDICINA TROPICAL SAO PAULO,0036-4665,1678-9946,1.5,4
IJID Regions,ELSEVIER,N/A,2772-7076,1.5,4
AIDS RESEARCH AND HUMAN RETROVIRUSES,"MARY ANN LIEBERT, INC",0889-2229,1931-8405,1.5,4
HIV AIDS-Research and Palliative Care,DOVE MEDICAL PRESS LTD,1179-1373,1179-1373,1.5,4
Surgical Infections,"MARY ANN LIEBERT, INC",1096-2964,1557-8674,1.4,4
Journal of Infection in Developing Countries,J INFECTION DEVELOPING COUNTRIES,1972-2680,1972-2680,1.4,4
INTERNATIONAL JOURNAL OF STD & AIDS,SAGE PUBLICATIONS LTD,0956-4624,1758-1052,1.4,4
Southern African Journal of Infectious Diseases,AOSIS,2312-0053,2313-1810,1.4,4
JAPANESE JOURNAL OF INFECTIOUS DISEASES,NATL INST INFECTIOUS DISEASES,1344-6304,1884-2836,1.3,4
ANTIVIRAL THERAPY,SAGE PUBLICATIONS LTD,1359-6535,2040-2058,1.3,4
IDCases,ELSEVIER SCI LTD,2214-2509,2214-2509,1.1,4
AIDS Research and Treatment,HINDAWI LTD,2090-1240,2090-1259,1.1,4
Journal of Global Infectious Diseases,WOLTERS KLUWER MEDKNOW PUBLICATIONS,0974-777X,0974-8245,1,4
Case Reports in Infectious Diseases,HINDAWI LTD,2090-6625,2090-6633,1,4
Journal of Infection Prevention,SAGE PUBLICATIONS LTD,1757-1774,1757-1782,0.9,4
LEPROSY REVIEW,LEPRA,0305-7518,2162-8807,0.8,4
CURRENT HIV RESEARCH,BENTHAM SCIENCE PUBL LTD,1570-162X,1873-4251,0.8,4
JOURNAL OF VECTOR BORNE DISEASES,WOLTERS KLUWER MEDKNOW PUBLICATIONS,0972-9062,0972-9062,0.8,4
Indian Journal of Sexually Transmitted Diseases and AIDS,WOLTERS KLUWER MEDKNOW PUBLICATIONS,2589-0557,2589-0565,0.6,4
Archives of Clinical Infectious Diseases,BRIEFLAND,2345-2641,2008-1081,0.5,4
INFECTIOUS DISEASES IN CLINICAL PRACTICE,LIPPINCOTT WILLIAMS & WILKINS,1056-9103,1536-9943,0.4,4
Revista Chilena de Infectologia,SOC CHILENA INFECTOLOGIA,0716-1018,0717-6341,0.4,4
Infectious Diseases and Clinical Microbiology,DOC DESIGN INFORMATICS CO LTD,2667-646X,2667-646X,0.3,4
HIV & AIDS Review,TERMEDIA PUBLISHING HOUSE LTD,1730-1270,1732-2707,0.3,4
Journal of Pediatric Infectious Diseases,GEORG THIEME VERLAG KG,1305-7707,1305-7693,0.2,4
Infektsiya i Immunitet,SANKT-PETERSBURG-NIIEM IMENI PASTERA,2220-7619,2313-7398,0.2,4
Mediterranean Journal of Infection Microbes and Antimicrobials,GALENOS PUBL HOUSE,2147-673X,2147-673X,0.2,4
Revista de Epidemiologia e Controle de Infeccao,UNIV SANTA CRUZ DO SUL,2238-3360,2238-3360,0.2,4
SOUTHEAST ASIAN JOURNAL OF TROPICAL MEDICINE AND PUBLIC HEALTH,SOUTHEAST ASIAN MINISTERS EDUC ORGANIZATION,0125-1562,0125-1562,0.1,4
DRUGS,ADIS INT LTD,0012-6667,1179-1950,13,1
Annual Review of Pharmacology and Toxicology,ANNUAL REVIEWS,0362-1642,1545-4304,11.2,1
ENVIRONMENTAL HEALTH PERSPECTIVES,US DEPT HEALTH HUMAN SCIENCES PUBLIC HEALTH SCIENCE,0091-6765,1552-9924,10.1,1
Environmental Chemistry and Ecotoxicology,KEAI PUBLISHING LTD,N/A,2590-1826,9,1
Particle and Fibre Toxicology,BMC,1743-8977,1743-8977,7.2,1
Journal of Xenobiotics,MDPI,2039-4705,2039-4713,6.8,3
MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,ELSEVIER,1383-5742,1388-2139,6.4,2
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,TAYLOR & FRANCIS INC,1093-7404,1521-6950,6.4,2
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,ACADEMIC PRESS INC ELSEVIER SCIENCE,0147-6513,1090-2414,6.2,2
Current Opinion in Toxicology,ELSEVIER,2468-2020,2468-2020,6.1,3
Reviews of Environmental Contamination and Toxicology,SPRINGER,0179-5953,2197-6554,6.1,3
CRITICAL REVIEWS IN TOXICOLOGY,TAYLOR & FRANCIS LTD,1040-8444,1547-6898,5.7,2
CELL BIOLOGY AND TOXICOLOGY,SPRINGER,0742-2091,1573-6822,5.3,3
TOXICOLOGY,ELSEVIER IRELAND LTD,0300-483X,1879-3185,4.8,3
ARCHIVES OF TOXICOLOGY,SPRINGER HEIDELBERG,0340-5761,1432-0738,4.8,2
CHEMICO-BIOLOGICAL INTERACTIONS,ELSEVIER IRELAND LTD,0009-2797,1872-7786,4.7,2
INFLAMMOPHARMACOLOGY,SPRINGER BASEL AG,0925-4692,1568-5608,4.6,3
ENVIRONMENTAL TOXICOLOGY,WILEY,1520-4081,1522-7278,4.4,3
Environmental Toxicology and Pharmacology,ELSEVIER,1382-6689,1872-7077,4.2,3
AQUATIC TOXICOLOGY,ELSEVIER,0166-445X,1879-1514,4.1,3
Journal of Exposure Science and Environmental Epidemiology,SPRINGERNATURE,1559-0631,1559-064X,4.1,3
DRUG SAFETY,ADIS INT LTD,0114-5916,1179-1942,4,2
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,ELSEVIER SCIENCE INC,1532-0456,1878-1659,3.9,3
FOOD AND CHEMICAL TOXICOLOGY,PERGAMON-ELSEVIER SCIENCE LTD,0278-6915,1873-6351,3.9,4
Toxins,MDPI,N/A,2072-6651,3.9,3
Toxics,MDPI,N/A,2305-6304,3.9,3
Expert Opinion on Drug Metabolism & Toxicology,TAYLOR & FRANCIS LTD,1742-5255,1744-7607,3.9,3
CHEMICAL RESEARCH IN TOXICOLOGY,AMER CHEMICAL SOC,0893-228X,1520-5010,3.7,3
ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,SPRINGER,0090-4341,1432-0703,3.7,4
Nanotoxicology,TAYLOR & FRANCIS LTD,1743-5390,1743-5404,3.6,4
ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,WILEY,0730-7268,1552-8618,3.6,4
Frontiers in Toxicology,FRONTIERS MEDIA SA,N/A,2673-3080,3.6,4
Toxicon-X,ELSEVIER,2590-1710,2590-1710,3.6,3
Environmental Pollutants and Bioavailability,TAYLOR & FRANCIS LTD,2639-5932,2639-5940,3.6,4
TOXICOLOGICAL SCIENCES,OXFORD UNIV PRESS,1096-6080,1096-0929,3.4,3
NEUROTOXICOLOGY,ELSEVIER,0161-813X,1872-9711,3.4,3
Cardiovascular Toxicology,HUMANA PRESS INC,1530-7905,1559-0259,3.4,4
Journal of Toxicology,HINDAWI LTD,1687-8191,1687-8205,3.4,4
TOXICOLOGY AND APPLIED PHARMACOLOGY,ACADEMIC PRESS INC ELSEVIER SCIENCE,0041-008X,1096-0333,3.3,3
REPRODUCTIVE TOXICOLOGY,PERGAMON-ELSEVIER SCIENCE LTD,0890-6238,1873-1708,3.3,3
Toxin Reviews,TAYLOR & FRANCIS INC,1556-9543,1556-9551,3.3,4
JOURNAL OF BIOCHEMICAL AND MOLECULAR TOXICOLOGY,WILEY,1095-6670,1099-0461,3.2,3
Computational Toxicology,ELSEVIER,2468-1113,2468-1113,3.1,4
REGULATORY TOXICOLOGY AND PHARMACOLOGY,ACADEMIC PRESS INC ELSEVIER SCIENCE,0273-2300,1096-0295,3,3
MARINE ENVIRONMENTAL RESEARCH,ELSEVIER SCI LTD,0141-1136,1879-0291,3,3
DNA REPAIR,ELSEVIER,1568-7864,1568-7856,3,3
CLINICAL TOXICOLOGY,TAYLOR & FRANCIS LTD,1556-3650,1556-9519,3,3
Integrated Environmental Assessment and Management,WILEY,1551-3777,1551-3793,3,4
TOXICOLOGY LETTERS,ELSEVIER IRELAND LTD,0378-4274,1879-3169,2.9,3
Current Research in Toxicology,ELSEVIER,2666-027X,2666-027X,2.9,4
IMMUNOPHARMACOLOGY AND IMMUNOTOXICOLOGY,TAYLOR & FRANCIS LTD,0892-3973,1532-2513,2.9,4
BMC Pharmacology & Toxicology,BMC,N/A,2050-6511,2.8,3
THERAPEUTIC DRUG MONITORING,LIPPINCOTT WILLIAMS & WILKINS,0163-4356,1536-3694,2.8,4
TOXICOLOGY MECHANISMS AND METHODS,TAYLOR & FRANCIS LTD,1537-6516,1537-6524,2.8,4
Forensic Toxicology,SPRINGER,1860-8965,1860-8973,2.8,4
HUMAN & EXPERIMENTAL TOXICOLOGY,SAGE PUBLICATIONS LTD,0960-3271,1477-0903,2.7,4
JOURNAL OF APPLIED TOXICOLOGY,WILEY,0260-437X,1099-1263,2.7,4
BASIC & CLINICAL PHARMACOLOGY & TOXICOLOGY,WILEY,1742-7835,1742-7843,2.7,4
BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,SPRINGER,0007-4861,1432-0800,2.7,4
Genes and Environment,BMC,1880-7046,1880-7062,2.7,4
Mycotoxin Research,SPRINGER HEIDELBERG,0178-7888,1867-1632,2.6,4
TOXICOLOGY IN VITRO,PERGAMON-ELSEVIER SCIENCE LTD,0887-2333,1879-3177,2.6,4
NEUROTOXICOLOGY AND TERATOLOGY,PERGAMON-ELSEVIER SCIENCE LTD,0892-0362,1872-9738,2.6,4
TOXICON,PERGAMON-ELSEVIER SCIENCE LTD,0041-0101,1879-3150,2.6,4
MUTAGENESIS,OXFORD UNIV PRESS,0267-8357,1464-3804,2.5,4
ALCOHOL,ELSEVIER SCIENCE INC,0741-8329,1873-6823,2.5,4
ECOTOXICOLOGY,SPRINGER,0963-9292,1573-3017,2.5,4
Journal of Medical Toxicology,SPRINGER,1556-9039,1937-6995,2.5,3
Food Additives & Contaminants Part B-Surveillance,TAYLOR & FRANCIS LTD,1939-3210,1939-3229,2.5,3
Journal of Immunotoxicology,TAYLOR & FRANCIS LTD,1547-691X,1547-6901,2.4,4
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES,TAYLOR & FRANCIS INC,1528-7394,1087-2620,2.4,4
JOURNAL OF ANALYTICAL TOXICOLOGY,OXFORD UNIV PRESS INC,0146-4760,1945-2403,2.3,4
SAR AND QSAR IN ENVIRONMENTAL RESEARCH,TAYLOR & FRANCIS LTD,1062-936X,1029-046X,2.3,3
MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS,ELSEVIER,1383-5718,1879-3592,2.3,4
Food Additives and Contaminants Part A-Chemistry Analysis Control Exposure & Risk Assessment,TAYLOR & FRANCIS LTD,1944-0049,1944-0057,2.3,3
ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,WILEY,0893-6692,1098-2280,2.3,4
Toxicology Research,OXFORD UNIV PRESS,2045-452X,2045-4538,2.2,4
JOURNAL OF ENVIRONMENTAL PATHOLOGY TOXICOLOGY AND ONCOLOGY,BEGELL HOUSE INC,0731-8898,2162-6537,2.1,4
DRUG AND CHEMICAL TOXICOLOGY,TAYLOR & FRANCIS LTD,0148-0545,1525-6014,2.1,4
BIOMARKERS,TAYLOR & FRANCIS LTD,1354-750X,1366-5804,2,4
INHALATION TOXICOLOGY,TAYLOR & FRANCIS LTD,0895-8378,1091-7691,2,4
Journal of Venomous Animals and Toxins including Tropical Diseases,CEVAP-SAO PAULO STATE UNIV-UNESP,N/A,1678-9199,1.8,4
JOURNAL OF TOXICOLOGICAL SCIENCES,JAPANESE SOC TOXICOLOGICAL SCIENCES,0388-1350,1880-3989,1.8,4
INDUSTRIAL HEALTH,"NATL INST OCCUPATIONAL SAFETY & HEALTH, JAPAN",0019-8366,1880-8026,1.8,4
Toxicologie Analytique et Clinique,ELSEVIER MASSON SAS EDITEUR,2352-0078,2352-0086,1.8,4
World Mycotoxin Journal,WAGENINGEN ACADEMIC PUBLISHERS,1875-0710,1875-0796,1.7,4
FOOD AND AGRICULTURAL IMMUNOLOGY,TAYLOR & FRANCIS LTD,0954-0105,1465-3443,1.7,4
TOXICOLOGY AND INDUSTRIAL HEALTH,SAGE PUBLICATIONS INC,0748-2337,1477-0393,1.7,4
Arhiv za Higijenu Rada i Toksikologiju-Archives of Industrial Hygiene and Toxicology,SCIENDO,0004-1254,1848-6312,1.7,4
Cutaneous and Ocular Toxicology,TAYLOR & FRANCIS LTD,1556-9527,1556-9535,1.6,4
Toxicological Research,KOREAN SOC TOXICOLOGY,1976-8257,2234-2753,1.6,4
Birth Defects Research,WILEY,2472-1727,2472-1727,1.6,4
Toxicology and Environmental Health Sciences,KOREAN SOC ENVIRONMENTAL RISK ASSESSMENT & HEALTH SCIENCE,2005-9752,2233-7784,1.6,4
MUTATION RESEARCH-FUNDAMENTAL AND MOLECULAR MECHANISMS OF MUTAGENESIS,ELSEVIER,1386-1964,1879-2871,1.5,4
TOXICOLOGIC PATHOLOGY,SAGE PUBLICATIONS INC,0192-6233,1533-1601,1.4,4
JOURNAL OF PHARMACOLOGICAL AND TOXICOLOGICAL METHODS,ELSEVIER SCIENCE INC,1056-8719,1873-488X,1.3,4
XENOBIOTICA,TAYLOR & FRANCIS LTD,0049-8254,1366-5928,1.3,4
INTERNATIONAL JOURNAL OF TOXICOLOGY,SAGE PUBLICATIONS INC,1091-5818,1092-874X,1.2,4
Journal of Environmental Science and Health Part C-Toxicology and Carcinogenesis,TAYLOR & FRANCIS INC,2689-6583,2689-6591,1.2,4
TOXICOLOGICAL AND ENVIRONMENTAL CHEMISTRY,TAYLOR & FRANCIS LTD,0277-2248,1029-0486,1.1,4
Molecular & Cellular Toxicology,KOREAN SOCIETY TOXICOGENOMICS & TOXICOPROTEOMICS-KSTT,1738-642X,2092-8467,1.1,4
Toxicology Communications,TAYLOR & FRANCIS LTD,N/A,2473-4306,1.1,4
Journal of Toxicologic Pathology,JAPANESE SOC TOXICOLOGIC PATHOLOGY,0914-9198,1881-915X,0.9,4
FLUORIDE,INT SOC FLUORIDE RESEARCH,0015-4725,2253-4083,0.7,4
International Journal of Medical Toxicology and Forensic Medicine,SHAHEED BEHESHTI MEDICAL UNIV-MEDICAL SCIENCES & HEALTH SERVICES,2251-8762,2251-8770,0.3,4
Journal of Food Safety and Food Quality-Archiv fur Lebensmittelhygiene,M H SCHAPER GMBH CO KG,0003-925X,N/A,0.2,4
DRUGS,ADIS INT LTD,0012-6667,1179-1950,13,1
Annual Review of Pharmacology and Toxicology,ANNUAL REVIEWS,0362-1642,1545-4304,11.2,1
ENVIRONMENTAL HEALTH PERSPECTIVES,US DEPT HEALTH HUMAN SCIENCES PUBLIC HEALTH SCIENCE,0091-6765,1552-9924,10.1,1
Environmental Chemistry and Ecotoxicology,KEAI PUBLISHING LTD,N/A,2590-1826,9,1
Particle and Fibre Toxicology,BMC,1743-8977,1743-8977,7.2,1
Journal of Xenobiotics,MDPI,2039-4705,2039-4713,6.8,3
MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,ELSEVIER,1383-5742,1388-2139,6.4,2
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,TAYLOR & FRANCIS INC,1093-7404,1521-6950,6.4,2
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,ACADEMIC PRESS INC ELSEVIER SCIENCE,0147-6513,1090-2414,6.2,2
Current Opinion in Toxicology,ELSEVIER,2468-2020,2468-2020,6.1,3
Reviews of Environmental Contamination and Toxicology,SPRINGER,0179-5953,2197-6554,6.1,3
CRITICAL REVIEWS IN TOXICOLOGY,TAYLOR & FRANCIS LTD,1040-8444,1547-6898,5.7,2
CELL BIOLOGY AND TOXICOLOGY,SPRINGER,0742-2091,1573-6822,5.3,3
TOXICOLOGY,ELSEVIER IRELAND LTD,0300-483X,1879-3185,4.8,3
